District,She does not complete her household work to his satisfaction,She disobeys him,She asks him whether he has other girlfriends,He suspects that she is unfaithful,He finds out that she has been unfaithful,She does not take care of the children,For any of these six reasons,Physical Violence - Last 12 months,Physical Violence - Ever
Bahawalpur,24.69140053,34.08472061,14.74584675,20.76161766,54.83475876,31.96430206,65.10923004,10.76033497,25.8828125
Bahawalnagar,25.50646591,33.11241531,18.99495316,15.6900568,55.74075699,34.0346756,65.94097137,7.227088928,14.48122311
RY Khan,9.270962715,12.45453358,9.164404869,7.913145542,16.69380569,7.61913681,26.87589264,4.607642651,10.85606384
DG Khan,42.28115845,48.66985703,34.96845627,30.62839127,56.84733582,39.37884521,67.28672791,13.91613483,39.47667694
Layyah,35.60685349,42.95014572,29.15553474,23.46757507,65.74013519,45.30521011,83.28072357,11.39840412,21.00717735
Muzaffargarh,25.83319283,28.54850388,20.20736122,17.6006012,43.46979523,29.14425659,58.13504791,10.01176834,21.90375137
Rajanpur,31.10801315,30.0171032,24.24224091,23.18612099,28.44940186,27.25679588,63.53219604,12.30859566,27.59161949
Faisalabad,10.03589153,18.62468719,8.920493126,11.40950489,31.93484306,24.24643898,39.80233002,5.204334736,15.38356686
Chiniot,33.87646484,47.08413315,27.49973679,31.49777222,60.41156387,43.48220444,68.86968994,13.27110767,25.20013046
Jhang,39.47593689,49.61698914,15.29122066,17.1979599,49.71522903,42.15952682,79.99520874,19.03165054,38.5493927
TT Singh,27.81273079,40.56085968,15.71239185,17.63129234,43.75989914,29.71084595,63.14836121,8.194486618,16.57507324
Gujranwala,6.937896252,11.14177036,5.080776691,7.735002041,27.60754395,6.593325615,31.16626167,14.52193832,27.98624039
Gujrat,27.14176559,31.72148705,16.55205727,17.76303482,51.6359787,29.56843376,60.41533279,5.092663288,13.57085514
Hafizabad,19.50615692,36.28477859,16.13150787,21.94359589,55.09158325,30.568964,67.47727203,7.9617033,18.43280983
Mandi Bahauddin,21.26376343,28.66548729,21.8651123,20.13756371,36.55797577,25.04049492,54.11790848,9.842135429,21.85822868
Narowal,25.13739777,30.44320488,18.01179504,21.37096214,33.52982712,26.47561646,53.30278015,8.721401215,14.28729916
Sialkot,13.96649837,25.35634995,14.0453434,19.3700428,42.95516968,22.15896797,59.7042923,9.00520134,19.25646019
Lahore,12.82666016,15.46177006,4.463984489,4.091441154,30.45698738,17.91818047,37.91029358,4.577287197,12.91050243
Kasur,8.109262466,13.51019096,8.079380035,8.227003098,14.51143837,11.06714153,22.98155594,5.464853287,10.4805975
Nankana Sahib,21.89570045,35.099823,20.75540924,22.7906723,48.91938782,37.3314209,61.57868195,5.470326424,11.55788517
Sheikhupura,17.12537384,23.63733292,16.23333168,23.00068474,38.80644226,17.64817429,48.7788887,6.300624847,12.06089115
Multan,20.04961395,19.85006714,15.57800961,13.23646355,35.2837944,23.21520233,42.95994568,8.012615204,15.39580631
Khanewal,30.31459427,33.728302,24.28116035,23.17093849,36.43403244,31.67209244,47.49593353,7.126933098,20.88697243
Lodhran,26.39021683,32.23487473,17.22064209,19.76879311,39.63059998,32.47607422,54.76095581,9.330700874,30.68550491
Vehari,26.06291199,35.76443481,14.22007465,18.83074188,28.85660934,23.84319687,55.68278885,8.756701469,20.13537598
Rawalpindi,11.54638195,21.72589684,6.794160843,9.845067024,35.29756546,18.46052551,44.25790024,19.45564079,32.80878448
Attock,30.21806335,30.74890709,22.60555077,24.3559227,34.69523239,23.35009384,48.00467682,3.928328753,14.73176289
Chakwal,17.99285316,30.36924744,13.1559639,19.57566833,57.29500198,31.21583939,64.50145721,5.252182961,21.55565834
Jhelum,11.87915325,16.19439697,9.897139549,7.199977875,17.75937462,12.05398941,26.17870903,11.89560318,18.33415794
Sahiwal,32.38136673,42.52392578,25.50722313,29.36574745,59.75757599,37.90149689,71.22332764,7.499865532,16.27865791
Okara,33.92256165,44.59823227,23.50299644,24.60581398,60.5687027,41.56053543,68.69378662,8.584681511,17.65868378
Pakpattan,38.24564362,51.62806702,22.48836136,29.85592461,60.85898209,50.48083115,71.64996338,11.25054836,23.53336525
Sargodha,19.16599274,26.89765739,15.51033783,15.78184032,35.35890198,23.01189613,48.31587982,5.225659847,17.20882034
Bhakkar,26.65762138,36.67589951,19.36090088,22.24947739,38.52737808,35.5535202,58.54640198,8.198074341,19.34994888
Khushab,30.56711769,30.09634399,18.15697861,16.15697098,35.05485916,28.50337029,51.80750275,12.7845974,21.18868637
Mianwali,33.03617859,44.14346313,20.98121452,15.62123871,41.08931732,34.89348221,58.58956146,9.202607155,19.24777412
Punjab,20.76513672,27.39739227,14.69245434,15.77589035,38.9392662,25.46623611,50.69234467,8.711296082,19.53012848
