District,She doesn't want to,He is intoxicated or high,She is sick,He mistreats her,For any of these four reasons,Sexual Violence - Last 12 months,Sexual Violence - Ever
Bahawalpur,36.2712938,54.05467462,64.14101079,46.48250581,73.44389089,4.468625069,8.419197083
Bahawalnagar,32.03515991,72.31872801,75.11904423,64.80685826,78.18075199,11.50392818,16.98937798
RY Khan,25.85681349,41.76308425,41.20159827,39.28036763,47.55282177,2.646629572,5.609510899
DG Khan,42.70623723,50.38452791,61.48689224,51.44945981,67.16550759,4.271828175,11.94435692
Layyah,48.5492511,66.82543141,73.1425745,64.83069662,84.95524366,7.198781967,10.24658012
Muzaffargarh,55.54294685,57.89101802,67.60373634,62.78001975,77.53399325,3.008047819,7.065825939
Rajanpur,32.89475731,28.98784346,29.58238456,30.06709846,53.71761086,0.487136871,1.542535543
Faisalabad,60.72687407,74.41038684,77.69776385,74.27352666,80.88326854,2.268265963,4.799476624
Chiniot,56.94591249,69.34809205,72.96303928,65.31533541,81.16053212,5.6933465,8.163190842
Jhang,33.67991181,28.9514226,32.37533288,28.61447928,49.71951524,2.392111301,7.244421005
TT Singh,48.91578363,50.62944893,60.30672308,50.57932659,70.73993716,4.464874744,5.105452538
Gujranwala,56.83551718,74.71033141,75.82191363,72.1757052,81.26145673,13.86672306,23.72725296
Gujrat,58.41301428,73.47713698,80.21991458,75.92400665,86.28408834,3.118584871,6.527066231
Hafizabad,55.43506437,71.53550164,83.55178542,74.84785676,88.87885237,2.204816103,3.479902983
Mandi Bahauddin,40.85798154,57.19487211,64.57935007,53.20270631,73.0749859,3.615720034,5.080985069
Narowal,39.0597943,41.30431533,38.21535658,44.57291476,61.30250132,10.90557575,13.73049545
Sialkot,52.46106114,67.95625465,70.36714834,67.50632698,83.31852824,4.080400944,5.998052597
Lahore,57.64870193,65.17381614,64.85454056,62.27052713,72.42356251,3.187767506,4.448244572
Kasur,31.15811541,32.01430223,32.58744674,33.06583819,37.83605676,2.179427862,2.540922403
Nankana Sahib,48.99432088,68.21489251,76.9870234,66.25208324,81.34490693,2.295784712,2.747648239
Sheikhupura,42.94268779,43.81270579,45.54951523,45.04389819,57.29915306,1.048147321,2.922534466
Multan,66.66777404,72.28784144,74.88834984,73.5298428,77.06515224,2.661506414,5.739070415
Khanewal,37.2299202,41.59758252,43.82305409,43.48293462,51.29087282,5.541623116,10.68524361
Lodhran,44.99142808,55.62154918,56.76767243,53.61235738,63.34639635,1.437024832,3.409492016
Vehari,32.49889217,40.47010919,41.46538444,32.56232921,48.73442639,5.650439262,10.16510677
Rawalpindi,51.25849257,56.30771379,64.55292774,56.28856041,67.37027313,10.95155811,15.17948246
Attock,46.99262318,51.91359542,61.89788509,51.76644554,70.1059411,1.023152709,3.102113247
Chakwal,38.60319002,62.27291959,64.30097328,58.50883133,72.84334245,3.97432375,9.186707497
Jhelum,54.51254368,69.01587174,72.93061243,65.27949091,78.54897502,12.7987175,17.94508171
Sahiwal,43.74659543,67.58977614,76.62910251,63.62488639,85.17779796,1.843718171,3.418932199
Okara,45.91585162,75.20586457,87.16842121,80.24278788,90.69273436,8.542990685,10.96030521
Pakpattan,33.63475554,43.71695509,52.41877595,49.04873712,66.1555221,4.587631226,6.792294502
Sargodha,62.99909067,76.10891325,80.96550154,72.98966898,85.46073549,1.369529724,3.261236668
Bhakkar,37.81524642,45.01898266,61.01918573,38.64982161,71.13675735,1.341436148,2.717455387
Khushab,47.93198234,54.94325716,61.78195037,58.78305969,71.85344254,7.567631721,10.08848095
Mianwali,55.78603292,60.47381489,70.44618027,68.23631049,77.65423902,3.158408403,5.464234829
Punjab,48.43791,59.40242,63.96387,58.53772,71.39402,4.665624619,7.843305111
